dataset,model,feature,importance,signed_coef
Human_HCT116,Lasso,log_cds,0.32881471192332934,-0.32881471192332934
Human_HCT116,Lasso,cds_CG,0.16303899854531012,0.16303899854531012
Human_HCT116,Lasso,log_utr5,0.1220681368109271,-0.1220681368109271
Human_HCT116,Lasso,codon_TGT,0.1071764819779125,-0.1071764819779125
Human_HCT116,Lasso,utr5_CG,0.09702923261295827,0.09702923261295827
Human_HCT116,Lasso,codon_AAG,0.09689741167098972,0.09689741167098972
Human_HCT116,Lasso,cds_TG,0.09565293820495617,0.09565293820495617
Human_HCT116,Lasso,codon_GTG,0.08185157621113986,-0.08185157621113986
Human_HCT116,Lasso,codon_TTA,0.07699033106742653,-0.07699033106742653
Human_HCT116,Lasso,cds_TA,0.07671005077960485,0.07671005077960485
Human_HCT116,Lasso,cds_AA,0.07367465215250722,0.07367465215250722
Human_HCT116,Lasso,utr5_TT,0.06624645825024335,0.06624645825024335
Human_HCT116,Lasso,codon_GCT,0.06416733480684748,0.06416733480684748
Human_HCT116,Lasso,utr5_AT,0.06305076907523335,-0.06305076907523335
Human_HCT116,Lasso,utr5_TC,0.06149907048977879,0.06149907048977879
Human_HCT116,Lasso,codon_GCC,0.061090967496695396,0.061090967496695396
Human_HCT116,Lasso,utr5_GA,0.06098560306923747,0.06098560306923747
Human_HCT116,Lasso,codon_AGT,0.060827575134777066,-0.060827575134777066
Human_HCT116,Lasso,codon_CGC,0.060457422310362406,0.060457422310362406
Human_HCT116,Lasso,codon_GGC,0.06025619553701326,0.06025619553701326
Human_HCT116,Lasso,cds_GT,0.058685088623345864,0.058685088623345864
Human_HCT116,Lasso,codon_CAT,0.057798130546103506,-0.057798130546103506
Human_HCT116,Lasso,codon_ATA,0.05667556290923449,-0.05667556290923449
Human_HCT116,Lasso,codon_GGT,0.05657321901906971,0.05657321901906971
Human_HCT116,Lasso,utr3_AT,0.05467511968557171,-0.05467511968557171
Human_HCT116,Lasso,codon_TCA,0.05248717154212951,-0.05248717154212951
Human_HCT116,Lasso,cds_AT,0.051436783494757235,0.051436783494757235
Human_HCT116,Lasso,utr3_G,0.05095651947317017,-0.05095651947317017
Human_HCT116,Lasso,cds_TC,0.05005655786118063,0.05005655786118063
Human_HCT116,Lasso,codon_CAC,0.04887202309162652,-0.04887202309162652
Human_HCT116,Lasso,utr5_G,0.047960864090627074,-0.047960864090627074
Human_HCT116,Lasso,utr5_GT,0.04762208084864337,0.04762208084864337
Human_HCT116,Lasso,utr5_AG,0.04710869152142053,0.04710869152142053
Human_HCT116,Lasso,codon_CGG,0.04546840927169238,-0.04546840927169238
Human_HCT116,Lasso,codon_GAT,0.04376477208064326,0.04376477208064326
Human_HCT116,Lasso,utr3_AG,0.04369245554134149,-0.04369245554134149
Human_HCT116,Lasso,codon_GGG,0.039001661038020254,-0.039001661038020254
Human_HCT116,Lasso,log_utr3,0.03893191765579348,-0.03893191765579348
Human_HCT116,Lasso,codon_CAA,0.03766819377409024,-0.03766819377409024
Human_HCT116,Lasso,utr3_TT,0.036869514233199494,0.036869514233199494
Human_HCT116,Lasso,codon_ACC,0.03563247367771506,0.03563247367771506
Human_HCT116,Lasso,utr3_GT,0.035021055303938196,0.035021055303938196
Human_HCT116,Lasso,codon_CAG,0.033939194258302094,0.033939194258302094
Human_HCT116,Lasso,codon_GGA,0.03329395766396243,0.03329395766396243
Human_HCT116,Lasso,codon_AGG,0.033061625976882635,-0.033061625976882635
Human_HCT116,Lasso,codon_CTA,0.032113408412840876,-0.032113408412840876
Human_HCT116,Lasso,utr3_TA,0.03146718623495815,-0.03146718623495815
Human_HCT116,Lasso,utr3_CA,0.029697860755753796,-0.029697860755753796
Human_HCT116,Lasso,codon_GCG,0.029696258139117693,0.029696258139117693
Human_HCT116,Lasso,codon_CCC,0.029376034686360363,0.029376034686360363
Human_HCT116,ElasticNet,log_cds,0.32803655341040455,-0.32803655341040455
Human_HCT116,ElasticNet,cds_AA,0.1620168211462585,0.1620168211462585
Human_HCT116,ElasticNet,cds_CG,0.12742105252622585,0.12742105252622585
Human_HCT116,ElasticNet,cds_TA,0.12740526113553058,0.12740526113553058
Human_HCT116,ElasticNet,log_utr5,0.12221597560983892,-0.12221597560983892
Human_HCT116,ElasticNet,codon_TGT,0.10647059960391651,-0.10647059960391651
Human_HCT116,ElasticNet,utr5_CG,0.10612132224246751,0.10612132224246751
Human_HCT116,ElasticNet,cds_TG,0.09700522762616855,0.09700522762616855
Human_HCT116,ElasticNet,cds_GC,0.09501401959254983,0.09501401959254983
Human_HCT116,ElasticNet,cds_AT,0.08965272877055827,0.08965272877055827
Human_HCT116,ElasticNet,codon_AAG,0.08552201082078384,0.08552201082078384
Human_HCT116,ElasticNet,codon_GCC,0.08242043003066427,0.08242043003066427
Human_HCT116,ElasticNet,cds_GT,0.08094268989214091,0.08094268989214091
Human_HCT116,ElasticNet,codon_GGC,0.07877264999182602,0.07877264999182602
Human_HCT116,ElasticNet,codon_TTA,0.078061458756451,-0.078061458756451
Human_HCT116,ElasticNet,codon_GTG,0.07483562330707123,-0.07483562330707123
Human_HCT116,ElasticNet,codon_CGC,0.07237320603125419,0.07237320603125419
Human_HCT116,ElasticNet,cds_TC,0.07023214924830574,0.07023214924830574
Human_HCT116,ElasticNet,codon_GCT,0.07022799234716218,0.07022799234716218
Human_HCT116,ElasticNet,utr5_GA,0.07015189175988017,0.07015189175988017
Human_HCT116,ElasticNet,utr3_G,0.06757392243601706,-0.06757392243601706
Human_HCT116,ElasticNet,utr5_TT,0.06663854416322149,0.06663854416322149
Human_HCT116,ElasticNet,codon_ATA,0.0655962819938713,-0.0655962819938713
Human_HCT116,ElasticNet,utr5_AT,0.06388195526854801,-0.06388195526854801
Human_HCT116,ElasticNet,codon_AGT,0.06318266849311893,-0.06318266849311893
Human_HCT116,ElasticNet,utr3_AT,0.06281274473654927,-0.06281274473654927
Human_HCT116,ElasticNet,utr5_TC,0.06225034678550509,0.06225034678550509
Human_HCT116,ElasticNet,codon_GGT,0.06192624301240615,0.06192624301240615
Human_HCT116,ElasticNet,codon_CAT,0.060174649304872034,-0.060174649304872034
