dataset,model,feature,importance,signed_coef
Mouse_4T1,ElasticNet,cds_CC,0.018573560124119173,0.018573560124119173
Mouse_4T1,ElasticNet,utr5_TT,0.017913730675341875,0.017913730675341875
Mouse_4T1,ElasticNet,utr3_CC,0.016302932938858983,0.016302932938858983
Mouse_4T1,RandomForest,log_tx,0.0867834791824087,
Mouse_4T1,RandomForest,log_cds,0.0550306862554444,
Mouse_4T1,RandomForest,log_utr3,0.03984869377088474,
Mouse_4T1,RandomForest,codon_TGA,0.019332375041384277,
Mouse_4T1,RandomForest,cds_CC,0.018343344818727795,
Mouse_4T1,RandomForest,cds_C,0.015166633801310262,
Mouse_4T1,RandomForest,codon_ACC,0.010564405565876933,
Mouse_4T1,RandomForest,gc_cds,0.009887778463287521,
Mouse_4T1,RandomForest,codon_CCC,0.009862753657300796,
Mouse_4T1,RandomForest,codon_GGC,0.009566129559080835,
Mouse_4T1,RandomForest,codon_CTA,0.009523877964427545,
Mouse_4T1,RandomForest,codon_AGA,0.009413456470914985,
Mouse_4T1,RandomForest,codon_GCC,0.009326050204606251,
Mouse_4T1,RandomForest,codon_TTA,0.00895686266239558,
Mouse_4T1,RandomForest,utr3_AG,0.00863547405468863,
Mouse_4T1,RandomForest,codon_TCG,0.008627490952788601,
Mouse_4T1,RandomForest,codon_GGT,0.008529882010812168,
Mouse_4T1,RandomForest,codon_CGC,0.00834126394171247,
Mouse_4T1,RandomForest,cds_TT,0.008242065522063115,
Mouse_4T1,RandomForest,codon_GAA,0.008241470853614654,
Mouse_4T1,RandomForest,codon_AAG,0.008180997501151832,
Mouse_4T1,RandomForest,codon_ATA,0.008173438441255263,
Mouse_4T1,RandomForest,codon_AAC,0.00813458911399248,
Mouse_4T1,RandomForest,utr3_TT,0.0077940152537158145,
Mouse_4T1,RandomForest,codon_AGG,0.007736125584085728,
Mouse_4T1,RandomForest,codon_ATC,0.0076209385973903,
Mouse_4T1,RandomForest,cds_TA,0.0075539177478470354,
Mouse_4T1,RandomForest,codon_CGT,0.0075408403544349805,
Mouse_4T1,RandomForest,utr5_TG,0.007373993609091678,
Mouse_4T1,RandomForest,codon_TTT,0.007118896722246687,
Mouse_4T1,RandomForest,utr3_GA,0.007102979082968398,
Mouse_4T1,RandomForest,codon_TTG,0.007100314128315075,
Mouse_4T1,RandomForest,codon_AGT,0.007088492877778193,
Mouse_4T1,RandomForest,codon_TGT,0.006980006857486785,
Mouse_4T1,RandomForest,cds_GC,0.006967877700523259,
Mouse_4T1,RandomForest,utr3_G,0.006944888354034636,
Mouse_4T1,RandomForest,utr3_A,0.006916190588182228,
Mouse_4T1,RandomForest,codon_GCT,0.006848004160958432,
Mouse_4T1,RandomForest,cds_T,0.006773332731339757,
Mouse_4T1,RandomForest,utr5_TC,0.006511186989270904,
Mouse_4T1,RandomForest,codon_TCC,0.006477334529847455,
Mouse_4T1,RandomForest,utr3_T,0.006473967174157121,
Mouse_4T1,RandomForest,cds_A,0.006318047876258726,
Mouse_4T1,RandomForest,codon_CGG,0.006257801267724371,
Mouse_4T1,RandomForest,utr3_GG,0.006215680923112571,
Mouse_4T1,RandomForest,codon_CTT,0.006162803421477331,
Mouse_4T1,RandomForest,utr3_AA,0.0061363214094690205,
Mouse_4T1,RandomForest,codon_ACG,0.00613278318521158,
Mouse_4T1,RandomForest,codon_CAC,0.006118989464236824,
Mouse_4T1,RandomForest,utr3_CG,0.006078214595399959,
Mouse_4T1,LightGBM,log_tx,5554.147130106867,
Mouse_4T1,LightGBM,log_cds,1607.3833511048579,
Mouse_4T1,LightGBM,cds_C,930.0772196985781,
Mouse_4T1,LightGBM,cds_CC,643.8404116287129,
Mouse_4T1,LightGBM,uAUG_count,617.3045553481788,
Mouse_4T1,LightGBM,log_utr3,616.1121567839873,
Mouse_4T1,LightGBM,codon_AAG,514.8449294607854,
Mouse_4T1,LightGBM,codon_TTA,475.0741719836951,
Mouse_4T1,LightGBM,codon_GCC,451.34002452302957,
Mouse_4T1,LightGBM,codon_GGC,437.5795137657551,
Mouse_4T1,LightGBM,codon_GGT,381.6547098263982,
Mouse_4T1,LightGBM,codon_AGT,367.8334260038682,
Mouse_4T1,LightGBM,utr3_AG,367.3270411872072,
Mouse_4T1,LightGBM,codon_ACC,340.48212849511765,
Mouse_4T1,LightGBM,utr3_TT,339.23405346120126,
Mouse_4T1,LightGBM,codon_AGA,313.9370695349062,
Mouse_4T1,LightGBM,codon_CTA,311.0876700062654,
Mouse_4T1,LightGBM,codon_TGT,293.0431119641289,
Mouse_4T1,LightGBM,codon_ATC,283.68925197131466,
Mouse_4T1,LightGBM,utr5_TC,279.21022069462924,
Mouse_4T1,LightGBM,codon_AGG,273.1275919280597,
Mouse_4T1,LightGBM,codon_AAC,265.3236423622584,
Mouse_4T1,LightGBM,gc_cds,256.1808457557345,
Mouse_4T1,LightGBM,utr5_GG,245.70876613014843,
Mouse_4T1,LightGBM,codon_CGG,239.97828366502654,
Mouse_4T1,LightGBM,codon_CAT,219.21393669012468,
Mouse_4T1,LightGBM,codon_TCA,219.14070669614011,
Mouse_4T1,LightGBM,utr5_TG,210.08130904164864,
Mouse_4T1,LightGBM,codon_ATA,194.87667634396348,
Mouse_4T1,LightGBM,codon_TGA,192.97175654897,
Mouse_4T1,LightGBM,codon_GCT,182.4662746571703,
Mouse_4T1,LightGBM,codon_CAA,166.61621513951104,
Mouse_4T1,LightGBM,codon_GGG,164.18427628686186,
Mouse_4T1,LightGBM,utr3_G,161.2030762746581,
Mouse_4T1,LightGBM,codon_TTG,159.39310355682392,
Mouse_4T1,LightGBM,codon_CAC,155.01114224776393,
Mouse_4T1,LightGBM,codon_CCA,151.06638430332532,
Mouse_4T1,LightGBM,codon_TGG,151.03799444442848,
Mouse_4T1,LightGBM,utr3_C,150.50793668511324,
Mouse_4T1,LightGBM,utr3_CC,148.7814774258295,
Mouse_4T1,LightGBM,codon_CGT,148.20158952317433,
Mouse_4T1,LightGBM,codon_TGC,144.5089394620154,
Mouse_4T1,LightGBM,utr3_CA,144.489842533716,
Mouse_4T1,LightGBM,codon_GAA,144.32759911526227,
Mouse_4T1,LightGBM,codon_CGC,139.92000386107247,
Mouse_4T1,LightGBM,cds_GG,139.70723769528558,
Mouse_4T1,LightGBM,codon_AGC,139.69745538703864,
Mouse_4T1,LightGBM,codon_ATT,139.28414280782454,
Mouse_4T1,LightGBM,codon_TTT,138.8619896012242,
Mouse_4T1,LightGBM,codon_GAC,136.05168652840075,
